iter	Logloss
0	0.5766416814
1	0.4980772123
2	0.4176076115
3	0.352480866
4	0.3130602045
5	0.2953699016
6	0.277100309
7	0.2456447643
8	0.2248297493
9	0.2173413153
10	0.2073567978
11	0.1976744058
12	0.1928995695
13	0.1870560908
14	0.1777484937
15	0.1729249166
16	0.1616789061
17	0.1548878304
18	0.1526521219
19	0.1484637611
20	0.1458845291
21	0.1447841997
22	0.142217688
23	0.1396207446
24	0.1375072393
25	0.1357506852
26	0.1350385608
27	0.1344975949
28	0.13229139
29	0.1319207341
30	0.1308064949
31	0.1304179283
32	0.1289038266
33	0.1280853769
34	0.1277169575
35	0.1273044454
36	0.1270985645
37	0.1261341865
38	0.1258006545
39	0.1255643914
40	0.1254138868
41	0.1252209824
42	0.1244256338
43	0.1235628214
44	0.1229693107
45	0.1225974715
46	0.1224283246
47	0.1222665146
48	0.1221097202
49	0.1219476803
50	0.121611292
51	0.1214667031
52	0.1213615416
53	0.1208407596
54	0.1206988738
55	0.1203042335
56	0.1201941397
57	0.1198252068
58	0.1196515564
59	0.119399885
60	0.1191080101
61	0.1190184708
62	0.1189017941
63	0.1185211061
64	0.1184480628
65	0.1180003881
66	0.1177775185
67	0.1176664084
68	0.1174312062
69	0.1171175074
70	0.1169571479
71	0.1168010831
72	0.1166870198
73	0.1165154598
74	0.1163463481
75	0.1162082554
76	0.116054912
77	0.1159185512
78	0.1157749554
79	0.1156078143
80	0.1154881478
81	0.1153972418
82	0.1151878528
83	0.11499363
84	0.1148589274
85	0.1147298497
86	0.1146009537
87	0.1144527016
88	0.1142724491
89	0.1141173648
90	0.1139433071
91	0.1138471367
92	0.1136869274
93	0.1134717341
94	0.1133570145
95	0.1132528987
96	0.113089659
97	0.1129079872
98	0.1127461997
99	0.1125813299
100	0.1123398625
101	0.112169134
102	0.11203199
103	0.1118310178
104	0.1117085925
105	0.1115040806
106	0.1113551678
107	0.1111872791
108	0.1110931896
109	0.1109637733
110	0.11080821
111	0.1105715117
112	0.1104616578
113	0.1102490956
114	0.1101076079
115	0.1099370158
116	0.1098229797
117	0.1096635846
118	0.1094983438
119	0.1092272075
120	0.1090355169
121	0.1088952995
122	0.1087222314
123	0.1086071429
124	0.1084640937
125	0.1083366011
126	0.1081989971
127	0.1080764529
128	0.1079370974
129	0.1077763814
130	0.1075541129
131	0.1074337786
132	0.1073378065
133	0.1071520797
134	0.1071112979
135	0.1069816321
136	0.1068896934
137	0.1067636582
138	0.1066614528
139	0.1065419862
140	0.1064610792
141	0.106324279
142	0.1061912759
143	0.1060707626
144	0.105995308
145	0.1058560585
146	0.1057133242
147	0.105625042
148	0.1054285061
149	0.1052801889
150	0.1051467368
151	0.1049848972
152	0.1048116489
153	0.1046859137
154	0.1045557105
155	0.1044317417
156	0.1043231933
157	0.1041793768
158	0.1040887481
159	0.1039589869
160	0.1036958773
161	0.1035689391
162	0.1034306639
163	0.1032891039
164	0.1031826503
165	0.1030120279
166	0.1028868119
167	0.1028291224
168	0.1026710843
169	0.1025442057
170	0.1024615631
171	0.1023413525
172	0.1022211318
173	0.1020828126
174	0.1019037821
175	0.1018113077
176	0.1017272796
177	0.1015371181
178	0.101372376
179	0.1012942455
180	0.1011573484
181	0.1010230755
182	0.1009267039
183	0.1007696668
184	0.1006238811
185	0.1004921956
186	0.1004195495
187	0.1002241416
188	0.1001026975
189	0.09991140606
190	0.09980844363
191	0.09967662084
192	0.09959356855
193	0.09948246905
194	0.09938366252
195	0.09926052672
196	0.09912167419
197	0.09902064482
198	0.09885886344
199	0.09873257337
200	0.09860680757
201	0.09846283084
202	0.09837247557
203	0.09825709672
204	0.09819863038
205	0.09813080328
206	0.09803324015
207	0.09790249058
208	0.09776768407
209	0.09762911323
210	0.09751859592
211	0.09741058175
212	0.09733081089
213	0.09718537392
214	0.09708175183
215	0.0969195969
216	0.0968133166
217	0.09672989179
218	0.09662249358
219	0.0965425346
220	0.09635907099
221	0.0962357776
222	0.09611044947
223	0.09603602267
224	0.09594188776
225	0.09583974606
226	0.09571712602
227	0.09560052818
228	0.09549419072
229	0.09537494634
230	0.09522782168
231	0.09511687217
232	0.09499427171
233	0.09488604237
234	0.09475847997
235	0.09463283204
236	0.09451751884
237	0.09438634301
238	0.09434908834
239	0.09418087654
240	0.09404633174
241	0.09394552885
242	0.09385259717
243	0.09369143326
244	0.0935716499
245	0.09348782906
246	0.09335952384
247	0.09329847352
248	0.09321939503
249	0.09310711535
250	0.09300672053
251	0.09289855375
252	0.09282913737
253	0.09273779562
254	0.09260647738
255	0.09245107375
256	0.09232936103
257	0.09223066719
258	0.09215259044
259	0.09201589676
260	0.09192165308
261	0.09177176583
262	0.09168634626
263	0.09157251049
264	0.09145731129
265	0.09134509348
266	0.09119596174
267	0.09108640756
268	0.09097295155
269	0.09089230614
270	0.09075539962
271	0.09064194546
272	0.09059768496
273	0.09047560714
274	0.09035736213
275	0.09024088494
276	0.0901262638
277	0.09000268948
278	0.08990407539
279	0.089813719
280	0.08973182976
281	0.0896457406
282	0.08950887914
283	0.08939937939
284	0.08927382254
285	0.08919859252
286	0.08912521602
287	0.08901408031
288	0.08890529793
289	0.08882726463
290	0.08875106531
291	0.08867591259
292	0.08857318074
293	0.08843727237
294	0.08832970432
295	0.08821501491
296	0.08814903891
297	0.08804956692
298	0.08795998733
299	0.08781657001
